2018 SOC Code,Occupation,Probability,TOT_EMP,percentile_rank
33-9011,Animal control workers,0.21,11790,28.97528028636141
39-6012,Concierges,0.21,44200,29.007596695888406
,"Computer occupations, all other",0.22,0,29.007596695888406
15-2041,Statisticians,0.22,29800,29.029384682402075
17-2061,Computer hardware engineers,0.22,75710,29.084739328675578
19-3022,Survey researchers,0.23,7720,29.090383733235498
13-1082,"Business operations specialists, all other",0.23,1006160,29.826028045671716
13-1199,"Business operations specialists, all other",0.23,1128200,30.650900743145815
13-2051,Financial analysts,0.23,340580,30.89991257022056
13-2054,Financial analysts,0.23,56320,30.941090402450435
,Radiologic technologists and technicians,0.23,0,30.941090402450435
29-2031,Cardiovascular technologists and technicians,0.23,61180,30.985821577447297
13-1011,"Agents and business managers of artists, performers, and athletes",0.24,14220,30.996218395172953
17-3028,"Engineering technicians, except drafters, all other",0.24,15320,31.007419467434342
17-3029,"Engineering technicians, except drafters, all other",0.24,64410,31.054512226204338
19-3092,Geographers,0.25,1380,31.05552120007645
19-5012,Occupational health and safety technicians,0.25,31450,31.078515568393733
21-1092,Probation officers and correctional treatment specialists,0.25,86820,31.141993185478206
17-3025,Environmental engineering technicians,0.25,12500,31.151132441566155
11-9072,"Managers, all other",0.25,36700,31.17796529744038
11-9179,"Managers, all other",0.25,10490,31.18563496114939
11-9199,"Managers, all other",0.25,630980,31.64696998565941
13-1082,"Managers, all other",0.25,1006160,32.38261429809563
53-3011,"Ambulance drivers and attendants, except emergency medical technicians",0.25,12080,32.39144647517902
41-4011,"Sales representatives, wholesale and manufacturing, technical and scientific products",0.25,293930,32.60635059853353
25-2023,"Career/technical education teachers, middle school",0.26,14200,32.61673279344945
53-5021,"Captains, mates, and pilots of water vessels",0.27,35390,32.642607855285654
31-2012,Occupational therapy aides,0.27,5000,32.646263557720836
49-9062,Medical equipment repairers,0.27,60830,32.690738833547236
41-1011,First-line supervisors of retail sales workers,0.28,1113160,33.50461517809632
27-2021,Athletes and sports competitors,0.28,14370,33.51512166689503
39-1013,Gaming supervisors,0.28,25530,33.533787683529056
39-5094,Skincare specialists,0.29,70240,33.58514299133847
13-1022,"Wholesale and retail buyers, except farm products",0.29,0,33.58514299133847
19-4021,Biological technicians,0.3,76190,33.64084858504575
31-9092,Medical assistants,0.3,793460,34.220979315889394
19-1023,Zoologists and wildlife biologists,0.3,16920,34.23335021293004
35-2013,"Cooks, private household",0.3,900,34.23400823936837
,"Human resources, training, and labour relations specialists, all other",0.31,0,34.23400823936837
33-9021,Private detectives and investigators,0.31,38700,34.26230337621667
27-4032,Film and video editors,0.31,28860,34.28340409067253
13-2054,"Financial specialists, all other",0.33,56320,34.324581922902404
13-2099,"Financial specialists, all other",0.33,127450,34.41776577797515
33-3021,Detectives and criminal investigators,0.34,110790,34.498768832533884
29-2055,Surgical technologists,0.34,113890,34.582038422602416
29-1124,Radiation therapists,0.34,18700,34.595710749709994
47-2152,"Plumbers, pipefitters, and steamfitters",0.35,455940,34.92906694336922
53-2031,Flight attendants,0.35,130110,35.024195632137484
29-2032,Diagnostic medical sonographers,0.35,86460,35.087410038646624
33-3011,Bailiffs,0.36,16910,35.099773624282406
51-9162,"Computer numerically controlled machine tool programmers, metal and plastic",0.36,28230,35.12041372023143
49-2022,"Telecommunications equipment installers and repairers, except line installers",0.36,153890,35.232928929781416
51-9051,"Furnace, kiln, oven, drier, and kettle operators and tenders",0.37,16160,35.244744160051916
53-7061,Cleaners of vehicles and equipment,0.37,373960,35.51816145658393
39-4021,Funeral attendants,0.37,30560,35.54050510986775
47-5081,Helpers–extraction workers,0.37,6720,35.545418373940635
27-2011,Actors,0.37,38800,35.57378662483763
47-5044,Mine shuttle car operators,0.37,6130,35.578268516023165
49-2095,"Electrical and electronics repairers, powerhouse, substation, and relay",0.38,23040,35.595113992844475
17-1022,Surveyors,0.38,53080,35.63392292989635
17-3027,Mechanical engineering technicians,0.38,37450,35.66130414113585
53-7064,"Packers and packagers, hand",0.38,601440,36.10104127565883
27-3091,Interpreters and translators,0.38,53360,36.14005493204707
31-1121,Home health aides,0.39,0,36.14005493204707
51-6093,Upholsterers,0.39,20990,36.15540157086996
47-4021,Elevator installers and repairers,0.39,23340,36.17246638983738
43-3041,Gaming cage workers,0.39,13490,36.1823294750075
25-4022,Audio-visual and multimedia collections specialists,0.39,131830,36.27871572541346
23-1023,"Judges, magistrate judges, and magistrates",0.4,25580,36.29741829907185
49-3042,"Mobile heavy equipment mechanics, except engines",0.4,180270,36.42922099466984
,"Health technologists and technicians, all other",0.4,0,36.42922099466984
45-2041,"Graders and sorters, agricultural products",0.41,26870,36.4488667395565
51-2041,Structural metal fabricators and fitters,0.41,53380,36.487895018754486
23-1012,Judicial law clerks,0.41,13220,36.4975606959931
49-2094,"Electrical and electronics repairers, commercial and industrial equipment",0.41,59990,36.541421813810395
19-4071,Forest and conservation technicians,0.42,31080,36.56414566014748
53-1042,"First-line supervisors of helpers, labourers, and material movers, hand",0.42,0,36.56414566014748
39-3093,"Locker room, coatroom, and dressing room attendants",0.43,14960,36.575083521833534
19-2099,"Physical scientists, all other",0.43,22580,36.59159267403081
19-3011,Economists,0.43,15880,36.60320318496495
19-3093,Historians,0.44,3140,36.60549896609424
51-9082,Medical appliance technicians,0.45,11490,36.61389977029028
43-4031,"Court, municipal, and license clerks",0.46,170010,36.738200964491284
13-1141,"Compensation, benefits, and job analysis specialists",0.47,102370,36.81304781614917
31-1133,Psychiatric aides,0.47,34900,36.83856461914672
29-2012,Medical and clinical laboratory technicians,0.47,0,36.83856461914672
33-2021,Fire inspectors and investigators,0.48,14050,36.84883714298958
17-3021,Aerospace engineering and operations technicians,0.48,9060,36.855461275802135
27-1026,Merchandise displayers and window trimmers,0.48,192480,36.996191196746835
47-5032,"Explosives workers, ordnance handling experts, and blasters",0.48,5680,37.0003440747132
15-1251,Computer programmers,0.48,109870,37.08067448002385
33-9091,Crossing guards,0.49,90180,37.146608729144766
17-2021,Agricultural engineers,0.49,1680,37.14783704516299
47-5043,"Roof bolters, mining",0.49,2230,37.149467488449076
49-9052,Telecommunications line installers and repairers,0.49,98360,37.221382466753944
43-5031,"Police, fire, and ambulance dispatchers",0.49,101140,37.29533001561278
47-5044,"Loading machine operators, underground mining",0.5,6130,37.299811906798304
,"Installation, maintenance, and repair workers, all other",0.5,0,37.299811906798304
27-3092,Court reporters,0.5,12630,37.30904621114957
41-9011,Demonstrators and product promoters,0.51,64770,37.3564021804949
31-9091,Dental assistants,0.51,375430,37.63089425354285
51-6041,Shoe and leather workers and repairers,0.52,7640,37.636480166863805
17-3011,Architectural and civil drafters,0.52,109550,37.71657660721861
47-5012,"Rotary drill operators, oil and gas",0.53,13090,37.72614723619391
47-4041,Hazardous materials removal workers,0.53,50570,37.76312101062332
39-4011,Embalmers,0.54,3420,37.76562151108899
47-5041,Continuous mining machine operators,0.54,14340,37.77610606567309
39-1013,Slot supervisors,0.54,25530,37.79477208230711
31-9011,Massage therapists,0.54,96040,37.86499081468206
41-3011,Advertising sales agents,0.54,97470,37.93625507795347
49-3022,Automotive glass installers and repairers,0.55,18940,37.95010287877793
53-2012,Commercial pilots,0.55,51830,37.98799789022101
43-4051,Customer service representatives,0.55,2725930,39.98103567804726
27-4011,Audio and video equipment technicians,0.55,70080,40.032274003378745
25-9042,Teacher assistants,0.56,0,40.032274003378745
25-9043,Teacher assistants,0.56,0,40.032274003378745
25-9049,Teacher assistants,0.56,0,40.032274003378745
45-1011,"First-line supervisors of farming, fishing, and forestry workers",0.57,29530,40.05386458196092
19-4031,Chemical technicians,0.57,55640,40.094545238659606
47-3015,"Helpers–pipelayers, plumbers, pipefitters, and steamfitters",0.57,43640,40.126452209513864
13-1051,Cost estimators,0.57,219530,40.286959480632895
33-3052,Transit and railroad police,0.57,3000,40.289152902094
37-1012,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",0.57,124130,40.379909370749786
13-2052,Personal financial advisors,0.58,270480,40.577668249683306
49-9044,Millwrights,0.59,40660,40.60739642188619
25-4013,Museum technicians and conservators,0.59,13070,40.61695242805175
47-5049,Mine cutting and channeling machine operators,0.59,3480,40.61949679694664
11-3071,"Transportation, storage, and distribution managers",0.59,213000,40.775229720685324
49-3092,Recreational vehicle service technicians,0.59,18710,40.78890935919777
49-3023,Automotive service technicians and mechanics,0.59,688840,41.292548172287695
