state_fips,occ2018,nativity_flag,emp_status,population
4,0440,1,EMPLOYED,31284.135299999998
4,0500,0,EMPLOYED,6841.472
4,0520,0,EMPLOYED,4579.4681
4,0520,1,UNEMPLOYED,7813.371
4,0530,0,EMPLOYED,11560.5141
4,0530,1,EMPLOYED,3452.8932
4,0540,0,EMPLOYED,25099.2462
4,0565,0,EMPLOYED,5137.0703
4,0600,0,EMPLOYED,11593.7807
4,0630,0,EMPLOYED,4757.1891
4,0630,0,UNEMPLOYED,6251.3969
4,0630,1,EMPLOYED,4380.9134
4,0640,0,EMPLOYED,7429.9253
4,0650,0,EMPLOYED,12826.773000000001
4,0700,0,EMPLOYED,15427.128499999999
4,0705,0,EMPLOYED,17546.5321
4,0705,1,EMPLOYED,7746.5607
4,0710,0,EMPLOYED,22765.9989
4,0725,0,EMPLOYED,13286.135900000001
4,0735,0,EMPLOYED,13364.4278
4,0750,0,EMPLOYED,18550.5592
4,0800,0,EMPLOYED,11153.1497
4,0800,1,EMPLOYED,13206.4238
4,0830,0,EMPLOYED,4982.7669
4,0850,0,EMPLOYED,13815.287
4,0910,0,EMPLOYED,13360.911100000001
4,1006,0,EMPLOYED,9976.4483
4,1007,0,EMPLOYED,14735.121200000001
4,1007,1,EMPLOYED,6158.6423
4,1010,1,EMPLOYED,9995.812399999999
4,1021,0,EMPLOYED,12217.6318
4,1021,1,EMPLOYED,10056.9919
4,1050,0,EMPLOYED,15580.2012
4,1065,0,EMPLOYED,5680.7037
4,1105,1,EMPLOYED,22210.938000000002
4,1108,0,EMPLOYED,5197.6434
4,1240,0,EMPLOYED,7737.9755
4,1306,0,EMPLOYED,5801.6125
4,1410,0,EMPLOYED,6314.2166
4,1460,0,EMPLOYED,13029.3548
4,1530,0,EMPLOYED,16160.0521
4,1551,0,EMPLOYED,6314.2166
4,1551,1,EMPLOYED,5180.8165
4,1560,0,EMPLOYED,6095.1342
4,1640,0,EMPLOYED,7671.1138
4,1720,0,EMPLOYED,7495.1865
4,1750,0,EMPLOYED,7044.8177
4,1760,0,EMPLOYED,13025.1291
4,1920,0,EMPLOYED,6134.8664
4,1980,0,EMPLOYED,5045.1268
4,2001,0,EMPLOYED,8465.124
4,2001,1,EMPLOYED,15223.5333
4,2002,0,EMPLOYED,21055.9602
4,2002,0,UNEMPLOYED,6813.6165
4,2006,0,EMPLOYED,4599.3314
4,2014,1,EMPLOYED,5680.2499
4,2015,0,EMPLOYED,6113.2081
4,2016,0,EMPLOYED,5031.5655
4,2040,0,EMPLOYED,14708.3456
4,2100,0,EMPLOYED,39175.6977
4,2100,1,EMPLOYED,7004.2326
4,2145,0,EMPLOYED,5585.0627
4,2180,0,EMPLOYED,5199.0332
4,2205,0,EMPLOYED,22319.983
4,2205,0,UNEMPLOYED,4412.4476
4,2205,1,EMPLOYED,5308.0595
4,2300,0,EMPLOYED,6230.0133
4,2300,1,EMPLOYED,8374.1309
4,2310,0,EMPLOYED,84397.0869
4,2310,0,UNEMPLOYED,7124.6351
4,2320,0,EMPLOYED,4664.154
4,2330,0,EMPLOYED,20615.9232
4,2350,0,EMPLOYED,5018.4249
4,2360,0,EMPLOYED,8085.9391
4,2435,0,EMPLOYED,9991.9391
4,2545,0,EMPLOYED,18949.5248
4,2600,0,EMPLOYED,11307.0033
4,2634,0,EMPLOYED,17034.4297
4,2722,0,EMPLOYED,4260.864
4,2740,0,EMPLOYED,7006.9542
4,2770,0,EMPLOYED,4073.3448
4,2825,0,EMPLOYED,6094.2272
4,2830,0,EMPLOYED,6330.9233
4,2850,0,EMPLOYED,7855.8597
4,2850,1,EMPLOYED,5032.8956
4,2910,0,EMPLOYED,15072.264
4,3000,0,EMPLOYED,4823.8225
4,3050,0,EMPLOYED,4127.0386
4,3090,0,EMPLOYED,15445.3068
4,3090,1,EMPLOYED,4963.4039
4,3100,0,EMPLOYED,6349.1267
4,3100,1,EMPLOYED,5043.8574
4,3110,0,EMPLOYED,8110.5232
