state_fips,person_type,age,weight_cmp,weight_or,occ2018,citizenship,nativity_country,year_of_entry,mlr_status,in_civ_lf,emp_recode,foreign_born,non_cit_foreign,nativity_flag,emp_status
9,2.0,56.0,38641346.0,159640772.0,0120,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,23.0,51681591.0,212764480.0,7800,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,36.0,41185717.0,163285306.0,2170,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,54.0,44947657.0,0.0,1305,4.0,421.0,11.0,1.0,1.0,1.0,1,0,1,EMPLOYED
9,2.0,50.0,36411813.0,0.0,3160,4.0,421.0,19.0,1.0,1.0,1.0,1,0,1,EMPLOYED
9,2.0,71.0,34938448.0,0.0,3090,4.0,210.0,16.0,1.0,1.0,1.0,1,0,1,EMPLOYED
9,2.0,42.0,38474691.0,0.0,2205,2.0,73.0,19.0,3.0,1.0,2.0,0,0,0,UNEMPLOYED
9,2.0,35.0,36448504.0,0.0,1108,3.0,231.0,12.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,26.0,37079327.0,0.0,3255,4.0,150.0,17.0,1.0,1.0,1.0,1,0,1,EMPLOYED
9,2.0,58.0,32227341.0,0.0,7200,4.0,150.0,17.0,1.0,1.0,1.0,1,0,1,EMPLOYED
9,2.0,55.0,34137346.0,0.0,9130,4.0,150.0,17.0,1.0,1.0,1.0,1,0,1,EMPLOYED
9,2.0,19.0,37000962.0,0.0,5740,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,58.0,34137346.0,0.0,5740,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,30.0,32329380.0,0.0,1530,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,59.0,25540778.0,0.0,5860,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,63.0,26711266.0,0.0,6520,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,65.0,24774538.0,0.0,0640,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,30.0,45109322.0,180363353.0,0440,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,39.0,30644092.0,0.0,0845,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,62.0,26880799.0,0.0,4220,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,58.0,31614790.0,0.0,7150,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,67.0,24056973.0,0.0,3601,2.0,73.0,3.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,61.0,29294314.0,0.0,4251,2.0,73.0,9.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,35.0,50008136.0,198262756.0,4110,5.0,303.0,20.0,1.0,1.0,1.0,1,1,1,EMPLOYED
9,2.0,34.0,43113106.0,0.0,9210,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,64.0,27547663.0,0.0,3601,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,63.0,31879535.0,0.0,2310,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,33.0,71608003.0,0.0,3603,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,43.0,40676745.0,0.0,1007,4.0,303.0,15.0,1.0,1.0,1.0,1,0,1,EMPLOYED
9,2.0,37.0,30116661.0,0.0,0120,5.0,303.0,26.0,1.0,1.0,1.0,1,1,1,EMPLOYED
9,2.0,66.0,29297010.0,124886911.0,4720,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,68.0,32068127.0,130704265.0,3300,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,44.0,34414974.0,0.0,0440,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,38.0,42835705.0,0.0,2636,3.0,233.0,11.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,53.0,32380634.0,0.0,1530,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,53.0,28253485.0,0.0,4760,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,33.0,42610862.0,177506155.0,0010,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,65.0,47062626.0,0.0,4220,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,56.0,47892853.0,179990874.0,4720,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,29.0,34617347.0,0.0,2634,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,59.0,25540778.0,0.0,5240,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,45.0,27236438.0,0.0,3601,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,59.0,25540778.0,0.0,0540,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,22.0,41373409.0,0.0,5840,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,21.0,41373409.0,0.0,3930,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,45.0,70989915.0,0.0,7855,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,46.0,33341882.0,0.0,6200,4.0,365.0,13.0,2.0,1.0,1.0,1,0,1,EMPLOYED
9,2.0,18.0,31280537.0,0.0,4020,1.0,57.0,0.0,4.0,1.0,2.0,0,0,0,UNEMPLOYED
9,2.0,17.0,32783813.0,0.0,5240,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,16.0,32783813.0,0.0,5240,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,49.0,30041511.0,0.0,3050,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,51.0,31290218.0,0.0,1410,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,18.0,33805885.0,0.0,3960,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,54.0,26760726.0,0.0,2310,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,61.0,38979369.0,0.0,4521,5.0,217.0,24.0,1.0,1.0,1.0,1,1,1,EMPLOYED
9,2.0,42.0,29940222.0,0.0,4110,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,64.0,30995530.0,0.0,7340,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,55.0,32369659.0,0.0,0010,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,58.0,28021649.0,0.0,4622,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,46.0,9498290.0,0.0,1970,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,66.0,7319660.0,0.0,2722,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,63.0,7111846.0,0.0,3602,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,54.0,8718205.0,0.0,1240,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,55.0,9254268.0,0.0,5610,2.0,73.0,13.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,22.0,9137737.0,0.0,4760,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,73.0,9308021.0,37937921.0,9130,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,65.0,8331260.0,36423762.0,8740,1.0,57.0,0.0,4.0,1.0,2.0,0,0,0,UNEMPLOYED
10,2.0,60.0,9210646.0,37154578.0,8740,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,60.0,10038288.0,40493178.0,4521,4.0,247.0,13.0,1.0,1.0,1.0,1,0,1,EMPLOYED
10,2.0,25.0,11135789.0,0.0,-001,5.0,414.0,17.0,4.0,1.0,2.0,1,1,1,UNEMPLOYED
10,2.0,25.0,22892235.0,78623311.0,2634,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,67.0,8002293.0,0.0,8760,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,60.0,10477477.0,0.0,1050,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,56.0,8833923.0,0.0,4220,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,25.0,9891499.0,0.0,4220,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,23.0,8669031.0,0.0,4720,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,36.0,10626538.0,0.0,1530,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,36.0,11117091.0,44234172.0,9130,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,34.0,9347389.0,38938875.0,3230,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,69.0,8716376.0,37156054.0,3255,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,35.0,7309174.0,0.0,2310,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,40.0,10444580.0,0.0,3500,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,24.0,15715134.0,0.0,3603,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,38.0,7408343.0,0.0,6660,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
10,2.0,27.0,7785211.0,0.0,0830,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
